City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
98,Guanica,PR,81.21,overcast clouds,17.9716,-66.908,Copamarina Beach Resort & Spa
99,Sahuaripa,MX,79.88,clear sky,29.05,-109.2333,Estatua de Sahuaripa
100,Bowen,AU,84.42,few clouds,-20.0167,148.2333,Castle Motor Lodge Motel
105,Axim,GH,80.37,scattered clouds,4.8699,-2.2405,Axim Beach Resort And Spa
108,Ambilobe,MG,75.56,clear sky,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
109,Kendari,ID,75.72,overcast clouds,-3.945,122.4989,Hotel Wixel
113,Kapaa,US,79.12,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
116,Santa Vitoria,BR,80.33,broken clouds,-18.8386,-50.1214,Center Hotel
117,Fayaoue,NC,80.85,few clouds,-20.65,166.5333,Chez Dydyce Guesthouse
120,Dzilam Gonzalez,MX,76.32,clear sky,21.2833,-88.9333,posadas
121,Cabo San Lucas,MX,80.51,broken clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
134,Mahebourg,MU,78.26,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
136,Touros,BR,81.5,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
139,Aransas Pass,US,77.09,clear sky,27.9095,-97.15,Microtel Inn & Suites by Wyndham Aransas Pass/Corpus Christi
142,Biak,ID,77.49,overcast clouds,-0.9131,122.8766,Penginapan Kim
146,Sinnamary,GF,77.58,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
149,Cockburn Town,TC,80.62,broken clouds,21.4612,-71.1419,Osprey Beach Hotel
157,Sorong,ID,81.14,overcast clouds,-0.8833,131.25,Waigo Splash Hotel
158,Port Blair,IN,78.39,few clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
159,Biltine,TD,75.15,clear sky,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
161,Bambous Virieux,MU,78.22,scattered clouds,-20.3428,57.7575,Casa Tia Villa
162,Ojinaga,MX,76.57,clear sky,29.5667,-104.4167,Suites Las Palmas
175,Sao Filipe,CV,75.49,broken clouds,14.8961,-24.4956,Hotel Xaguate
177,Pouebo,NC,82.69,few clouds,-20.4,164.5667,RIVÂT LODGE
180,Grand Gaube,MU,78.39,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
183,Harper,LR,80.4,few clouds,4.375,-7.7169,Screensaver
184,Cayenne,GF,77.09,overcast clouds,4.9333,-52.3333,Hôtel Le Dronmi
189,Oriximina,BR,80.78,overcast clouds,-1.7656,-55.8661,Pousada Tia Amélia
196,Ciudad Guayana,VE,79.52,broken clouds,8.3533,-62.6528,Hotel Las Americas
197,Mattru,SL,76.3,scattered clouds,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
