City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
108,Ambilobe,MG,-13.2,49.05,75.56,72,4,2.89,clear sky
109,Kendari,ID,-3.945,122.4989,75.72,93,100,0.69,overcast clouds
110,Kaitangata,NZ,-46.2817,169.8464,53.92,55,92,8.08,overcast clouds
111,Black Diamond,US,47.3087,-122.0032,42.24,85,98,1.01,overcast clouds
112,Upernavik,GL,72.7868,-56.1549,25.09,74,100,3.29,overcast clouds
113,Kapaa,US,22.0752,-159.319,79.12,69,40,4.0,scattered clouds
114,Impfondo,CG,1.6381,18.0667,72.27,94,100,2.68,overcast clouds
115,Marawi,PH,7.9986,124.2928,65.64,94,100,2.15,overcast clouds
116,Santa Vitoria,BR,-18.8386,-50.1214,80.33,61,80,4.47,broken clouds
117,Fayaoue,NC,-20.65,166.5333,80.85,71,23,7.31,few clouds
118,Torata,PE,-17.0769,-70.8433,60.03,62,99,5.35,overcast clouds
119,Barrow,US,71.2906,-156.7887,12.22,79,90,21.85,haze
120,Dzilam Gonzalez,MX,21.2833,-88.9333,76.32,67,0,6.78,clear sky
121,Cabo San Lucas,MX,22.8909,-109.9124,80.51,58,75,2.3,broken clouds
122,Vitim,RU,59.4511,112.5578,5.5,98,100,2.01,overcast clouds
123,Coihaique,CL,-45.5752,-72.0662,67.95,45,40,6.91,scattered clouds
124,Sarankhola,BD,22.3082,89.7897,69.51,98,100,4.92,overcast clouds
125,Saint George,US,37.1041,-113.5841,70.36,24,1,1.01,clear sky
126,Dno,RU,57.8277,29.9637,1.58,98,98,5.88,overcast clouds
127,Walvis Bay,NA,-22.9575,14.5053,59.09,82,0,8.05,clear sky
128,Shima,CN,24.4478,117.8111,62.22,76,0,3.44,clear sky
129,Geraldton,AU,-28.7667,114.6,74.12,56,1,13.8,clear sky
130,High Level,CA,58.5169,-117.136,-20.09,83,1,3.44,smoke
131,Clyde River,CA,70.4692,-68.5914,10.63,85,100,27.63,light snow
132,Hokitika,NZ,-42.7167,170.9667,61.5,55,96,6.93,overcast clouds
133,Vila Franca Do Campo,PT,37.7167,-25.4333,63.19,85,37,3.8,scattered clouds
134,Mahebourg,MU,-20.4081,57.7,78.26,78,40,8.05,scattered clouds
135,Bongandanga,CD,1.5,21.05,71.33,97,100,0.4,overcast clouds
136,Touros,BR,-5.1989,-35.4608,81.5,78,63,15.64,broken clouds
137,Kitui,KE,-1.367,38.0106,62.11,88,54,2.82,broken clouds
138,Pringsewu,ID,-5.3582,104.9744,72.91,97,100,1.12,overcast clouds
139,Aransas Pass,US,27.9095,-97.15,77.09,91,1,10.0,clear sky
140,Visnes,NO,59.3556,5.2242,32.58,69,100,16.11,overcast clouds
141,Ardea,IT,41.6123,12.5143,48.76,83,40,4.0,scattered clouds
142,Biak,ID,-0.9131,122.8766,77.49,87,100,3.85,overcast clouds
143,Tatui,BR,-23.3556,-47.8569,73.18,64,49,9.95,scattered clouds
144,Yumen,CN,40.2833,97.2,24.57,51,21,16.04,few clouds
145,Zheshart,RU,62.0731,49.5733,-6.99,100,93,2.89,overcast clouds
146,Sinnamary,GF,5.3833,-52.95,77.58,88,95,8.28,overcast clouds
147,Caravelas,BR,-17.7125,-39.2481,74.43,87,0,5.01,clear sky
148,Chuy,UY,-33.6971,-53.4616,65.3,82,98,7.87,overcast clouds
149,Cockburn Town,TC,21.4612,-71.1419,80.62,77,67,21.63,broken clouds
150,Odweyne,SO,9.4092,45.064,61.72,56,10,2.82,clear sky
151,Leningradskiy,RU,69.3833,178.4167,-3.69,98,100,15.05,light snow
152,Tahlequah,US,35.9154,-94.97,69.08,68,90,9.22,overcast clouds
153,Teknaf,BD,20.8624,92.3058,74.41,87,90,5.77,overcast clouds
154,Svetlyy,RU,54.675,20.1347,26.65,92,100,13.6,overcast clouds
155,Khandyga,RU,62.6667,135.6,-12.51,98,100,4.29,overcast clouds
156,Sovetskiy,RU,61.3614,63.5842,-2.72,96,99,3.47,light snow
157,Sorong,ID,-0.8833,131.25,81.14,83,96,4.5,overcast clouds
158,Port Blair,IN,11.6667,92.75,78.39,70,24,11.43,few clouds
159,Biltine,TD,14.5333,20.9167,75.15,21,4,9.84,clear sky
160,Jumla,NP,29.2747,82.1838,40.21,86,71,2.91,broken clouds
161,Bambous Virieux,MU,-20.3428,57.7575,78.22,78,40,8.05,scattered clouds
162,Ojinaga,MX,29.5667,-104.4167,76.57,33,1,0.0,clear sky
163,Sao Desiderio,BR,-12.3633,-44.9733,70.77,92,74,2.93,broken clouds
164,Beringovskiy,RU,63.05,179.3167,6.84,81,100,35.99,overcast clouds
165,Dingle,PH,10.9995,122.6711,73.22,89,40,6.87,scattered clouds
166,Port Elizabeth,ZA,-33.918,25.5701,65.1,100,90,16.11,overcast clouds
167,Klaksvik,FO,62.2266,-6.589,38.32,64,50,19.48,scattered clouds
168,Padang,ID,-0.9492,100.3543,73.45,86,99,3.91,overcast clouds
169,Peruibe,BR,-24.32,-46.9983,71.56,95,84,7.14,broken clouds
170,Bengkulu,ID,-3.8004,102.2655,74.98,88,94,6.49,overcast clouds
171,Lloydminster,CA,53.2835,-110.0016,-4.32,71,1,6.91,clear sky
172,Broome,US,42.2506,-75.833,42.22,59,90,1.99,overcast clouds
173,Annau,TM,37.8876,58.516,35.1,100,58,0.0,fog
174,Andenes,NO,69.3143,16.1194,21.18,73,40,17.27,scattered clouds
175,Sao Filipe,CV,14.8961,-24.4956,75.49,73,66,12.39,broken clouds
176,Kinsale,IE,51.7075,-8.5306,46.24,93,75,9.22,broken clouds
177,Pouebo,NC,-20.4,164.5667,82.69,68,21,7.2,few clouds
178,North Bend,US,43.4065,-124.2243,53.51,87,1,3.44,clear sky
179,Ponta Do Sol,PT,32.6667,-17.1,65.03,70,27,9.31,scattered clouds
180,Grand Gaube,MU,-20.0064,57.6608,78.39,70,7,5.01,clear sky
181,Oneida,US,43.2001,-75.4663,40.44,76,90,3.0,overcast clouds
182,Los Llanos De Aridane,ES,28.6585,-17.9182,64.15,62,75,15.01,broken clouds
183,Harper,LR,4.375,-7.7169,80.4,81,24,8.75,few clouds
184,Cayenne,GF,4.9333,-52.3333,77.09,90,90,2.3,overcast clouds
185,Nome,US,64.5011,-165.4064,32.07,87,90,25.32,mist
186,Dalvik,IS,65.9702,-18.5286,40.93,80,100,10.2,moderate rain
187,Kuito,AO,-12.3833,16.9333,58.78,93,98,2.77,overcast clouds
188,Coquimbo,CL,-29.9533,-71.3436,58.73,82,75,11.5,broken clouds
189,Oriximina,BR,-1.7656,-55.8661,80.78,73,93,3.6,overcast clouds
190,Qandala,SO,11.472,49.8728,73.94,66,8,4.45,clear sky
191,Ribeira Grande,PT,38.5167,-28.7,63.93,73,72,7.83,broken clouds
192,Tilichiki,RU,60.4667,166.1,-0.13,96,88,3.65,overcast clouds
193,Arak,IR,34.0917,49.6892,40.98,26,15,4.16,few clouds
194,Luderitz,NA,-26.6481,15.1594,60.75,88,0,10.04,clear sky
195,Taltal,CL,-25.4,-70.4833,65.77,70,26,4.72,scattered clouds
196,Ciudad Guayana,VE,8.3533,-62.6528,79.52,84,72,8.68,broken clouds
197,Mattru,SL,7.6244,-11.8332,76.3,88,46,1.74,scattered clouds
198,Lata,PT,40.1629,-8.3327,54.01,95,47,2.8,scattered clouds
199,Najran,SA,17.4924,44.1277,52.45,38,0,1.48,clear sky
200,Bellmead,US,31.594,-97.1089,77.11,70,75,12.66,broken clouds
201,Atoyac,MX,20.0167,-103.5333,77.36,48,100,3.96,overcast clouds
202,Shiyan,CN,32.6475,110.7781,45.12,70,0,4.5,clear sky
203,Avarua,CK,-21.2078,-159.775,82.45,78,20,8.05,moderate rain
204,Kruisfontein,ZA,-34.0033,24.7314,62.89,92,73,10.11,broken clouds
205,Idlib,SY,35.9306,36.6339,38.59,46,1,2.64,clear sky
206,Puerto Ayora,EC,-0.7393,-90.3518,69.64,85,53,9.62,broken clouds
207,Luau,AO,-10.7073,22.2247,62.19,94,56,2.89,light rain
